OrderID,CustomerID,BundledProductID,OrderDate,SalesAmount,StoreID
1045.0,5010.0,3004.0,8/07/2024,150.0,101.0
1046.0,-1.0,3001.0,15/07/2024,200.0,104.0
1047.0,5007.0,3007.0,22/07/2024,350.0,107.0
1048.0,5006.0,3006.0,29/07/2024,350.0,105.0
1049.0,5001.0,3004.0,5/08/2024,100.0,106.0
1050.0,5001.0,3007.0,12/08/2024,450.0,104.0
1031.0,-1.0,3009.0,1/04/2024,,102.0
1052.0,5009.0,3005.0,26/08/2024,450.0,106.0
1053.0,5003.0,3001.0,2/09/2024,550.0,103.0
1054.0,5008.0,3006.0,9/09/2024,450.0,103.0
1055.0,5007.0,3004.0,16/09/2024,800.0,102.0
1056.0,5010.0,3001.0,23/09/2024,150.0,104.0
1057.0,5005.0,3006.0,30/09/2024,700.0,106.0
1058.0,5011.0,3005.0,7/10/2024,250.0,107.0
1059.0,5010.0,3009.0,14/10/2024,350.0,104.0
1060.0,5004.0,3009.0,21/10/2024,500.0,102.0
1061.0,-1.0,3001.0,28/10/2024,,106.0
1062.0,5010.0,3003.0,4/11/2024,1000.0,104.0
1063.0,5002.0,3005.0,11/11/2024,350.0,102.0
1064.0,5003.0,3009.0,18/11/2024,100.0,103.0
1065.0,5008.0,3006.0,25/11/2024,400.0,102.0
1066.0,5011.0,3005.0,2/12/2024,250.0,106.0
1067.0,5002.0,3004.0,9/12/2024,550.0,102.0
1068.0,5006.0,3003.0,16/12/2024,450.0,106.0
1069.0,5010.0,3008.0,23/12/2024,500.0,103.0
1070.0,5011.0,3002.0,30/12/2024,1000.0,106.0
1051.0,5007.0,3001.0,19/08/2024,,107.0
1072.0,5009.0,3003.0,13/01/2025,200.0,102.0
1073.0,5008.0,3007.0,20/01/2025,500.0,105.0
1074.0,5011.0,3007.0,27/01/2025,150.0,105.0
1075.0,5007.0,3005.0,3/02/2025,150.0,106.0
1076.0,-1.0,3005.0,10/02/2025,450.0,105.0
1077.0,5003.0,3001.0,17/02/2025,800.0,104.0
1078.0,5003.0,3003.0,24/02/2025,200.0,103.0
1079.0,5005.0,3003.0,3/03/2025,550.0,101.0
1080.0,5005.0,3007.0,10/03/2025,350.0,107.0
1081.0,5006.0,3002.0,17/03/2025,,107.0
1082.0,5001.0,3008.0,24/03/2025,150.0,103.0
1083.0,5011.0,3006.0,31/03/2025,300.0,101.0
1084.0,5008.0,3003.0,7/04/2025,300.0,106.0
1085.0,5001.0,3001.0,14/04/2025,550.0,101.0
1086.0,5005.0,3005.0,21/04/2025,300.0,103.0
1087.0,5009.0,3003.0,28/04/2025,600.0,106.0
1088.0,5011.0,3005.0,5/05/2025,700.0,101.0
1089.0,5008.0,3005.0,12/05/2025,300.0,101.0
1090.0,5006.0,3002.0,19/05/2025,700.0,104.0
1071.0,5011.0,3004.0,6/01/2025,,101.0
1092.0,5010.0,3006.0,2/06/2025,350.0,101.0
1093.0,5009.0,3004.0,9/06/2025,150.0,106.0
1094.0,5010.0,3007.0,16/06/2025,550.0,105.0
1095.0,5003.0,3003.0,23/06/2025,400.0,101.0
1096.0,5006.0,3004.0,30/06/2025,350.0,104.0
1097.0,5011.0,3004.0,7/07/2025,400.0,102.0
1098.0,5002.0,3007.0,14/07/2025,150.0,102.0
1099.0,5011.0,3004.0,21/07/2025,600.0,102.0
1100.0,5005.0,3005.0,28/07/2025,150.0,107.0
1101.0,5011.0,3009.0,4/08/2025,,101.0
1102.0,5004.0,3005.0,11/08/2025,150.0,107.0
1103.0,5009.0,3001.0,18/08/2025,600.0,103.0
1104.0,5003.0,3004.0,25/08/2025,900.0,102.0
1105.0,5007.0,3009.0,1/09/2025,600.0,106.0
1106.0,-1.0,3006.0,8/09/2025,1000.0,104.0
1107.0,5004.0,3001.0,15/09/2025,400.0,103.0
1108.0,5007.0,3005.0,22/09/2025,800.0,105.0
1109.0,5006.0,3002.0,29/09/2025,250.0,103.0
1110.0,5003.0,3005.0,6/10/2025,250.0,102.0
1091.0,-1.0,3003.0,26/05/2025,,103.0
1112.0,5011.0,3001.0,20/10/2025,400.0,106.0
1113.0,5011.0,3002.0,27/10/2025,350.0,104.0
1114.0,5002.0,3004.0,3/11/2025,800.0,106.0
1115.0,5011.0,3007.0,10/11/2025,400.0,102.0
1116.0,5010.0,3007.0,17/11/2025,1000.0,103.0
1117.0,5003.0,3007.0,24/11/2025,1000.0,104.0
1118.0,5010.0,3003.0,1/12/2025,250.0,104.0
1119.0,5004.0,3007.0,8/12/2025,550.0,103.0
1120.0,5001.0,3003.0,15/12/2025,200.0,104.0
1121.0,-1.0,3007.0,22/12/2025,,104.0
1122.0,5006.0,3001.0,29/12/2025,350.0,104.0
1123.0,5001.0,3002.0,5/01/2026,200.0,103.0
1124.0,5006.0,3007.0,12/01/2026,100.0,102.0
1125.0,5011.0,3003.0,19/01/2026,350.0,107.0
1126.0,5001.0,3003.0,26/01/2026,300.0,102.0
1127.0,5004.0,3001.0,2/02/2026,200.0,103.0
1128.0,5007.0,3003.0,9/02/2026,1000.0,103.0
1129.0,5003.0,3007.0,16/02/2026,500.0,104.0
1130.0,5005.0,3002.0,23/02/2026,350.0,103.0
